	time	id	sentiment	topic	like	text
132	Sun Nov 28 23:59:08 +0000 2021	1465108024851410945	-	CV	0	"@Stonkzilla1 @DHSCgovuk My friends mum has Covid and was in intensive care for 3 weeks. She only got 1 dose of Covid vaccine. My dad had both doses and was ill in bed for a week. My family friend had no vaccine and died from Covid 19 at the age of 24 years old, no health issues….1/2"
133	Sun Nov 28 23:59:07 +0000 2021	1465108022632587272	-	CV	1	"@drjonesjnr @DopravniPoradce @PrisonPlanet //Not to be rude, but do you know anything about the technology that went into this vaccination? They’ve been using it to treat cancer. It's been around for 20 yrs. 7.9 billion doses have been given world wide. The FDA gave their approval. There are multiple Supreme Court cases ~"
134	Sun Nov 28 23:59:07 +0000 2021	1465108022175232000	/	CV	5	"MUST READ: Poor countries face issues of vaccine access, delivery logistics &amp; widespread hesitancy, esp the Pacific. Unless everyone receives protection, COVID will spread &amp; mutate. COVID isn’t over for anyone until it is over for everyone. #EndCOVIDForAll https://t.co/GL8ALaF4oG"
135	Sun Nov 28 23:59:07 +0000 2021	1465108021579816965	/	CV	0	"@GerladBarbarian @milehihappy @Marie38788117 @ryanciminski ""...which may cause adverse pathological events. Thus, it is important to consider the possibility that the SARS-CoV-2 spike protein produced by the new COVID-19 vaccines triggers cell signaling events that promote PAH, other cardiovascular complications, and/or..."""
136	Sun Nov 28 23:59:07 +0000 2021	1465108020757614595	/	CV	2	@SpadermanXX @BrexitBuster Actually - research into coronavirus vaccines has been going on for at least 18 years with the emergence of SARS. I know that’s a big number- it’s almost all your fingers &amp; toes!  So I can understand why that feels like they are experimental!
137	Sun Nov 28 23:59:06 +0000 2021	1465108017653989376	/	CV	0	Euthanasia: German Group Requires Full Vaccination before Death | National Review https://t.co/wfgOFT2mZq
138	Sun Nov 28 23:59:06 +0000 2021	1465108017129611274	/	CS	0	@BenKoller @YouTube I hope to see Converge in Brazil...covid is controlled 🙏🏻.
139	Sun Nov 28 23:59:06 +0000 2021	1465108015837630465	/	CV	0	"@Ally_Tanner Hi Alice, we're sorry to hear you're experiencing difficulties with linking your proof of vaccination with your Service NSW app. Are you getting a specific error message when doing so?"
140	Sun Nov 28 23:59:05 +0000 2021	1465108015640723462	/	CL	3	"Coronavirus pandemic offers many political opportunities that Madrid will  certainly seize. This is what they do!   The Inquisition never ended. Literally. And, I am not joking when I say that. It is tragically true. https://t.co/cezeVuvHN4"
141	Sun Nov 28 23:59:05 +0000 2021	1465108015124819975	/	CS	0	Britain’s public body advising the NHS announced that people with mild depression in England should be offered therapy before medication. On our “Babbage” podcast we explore the development of cognitive behavioural therapy by the late Aaron Beck https://t.co/lhymKdDZyl https://t.co/UmACOPxtZ6
143	Sun Nov 28 23:59:04 +0000 2021	1465108011341344768	/	CT	0	'Absolute body blow': Travel industry left reeling from new COVID-19 variant - 6PR https://t.co/MUlRzyh9U0
145	Sun Nov 28 23:59:04 +0000 2021	1465108010607513604	/	CV	0	These are BS games being played by the Manufacturer’s of Moderna… these vaccines should be available to everyone around the world!! “ALL” Lives matter!!! https://t.co/3Qdw9w7ZB9
147	Sun Nov 28 23:59:03 +0000 2021	1465108006912368642	/	CL	2	When is the Biden’s admin suppose to start his plan to get rid of COVID ? @POTUS  I clearly remember him saying trump didn’t have a plan ans he did . Death tolls already eclipsing last year when we didn’t barely achieve a vaccine. These vaccine don’t work . We need #COVAXIN
